                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4111,                 3.0994,                 1.6083,                0.22314,                0.33884,                 0.1951,                0.10462,                 1.3722,                 3.0079,                 1.7201,               0.070263,              0.0033041,              0.0033041
                      2,                 1.3706,                 2.4321,                  1.536,                 0.2656,                0.42266,                0.23183,                0.11829,                 1.5808,                 2.7122,                 2.0785,               0.039935,              0.0063089,              0.0063089
                      3,                 1.4003,                 2.2743,                 1.5677,                0.31461,                0.45865,                0.29318,                 0.1567,                 1.5038,                 2.8588,                 1.8841,              0.0092761,              0.0089837,              0.0089837
                      4,                 1.4413,                 2.2315,                 1.6015,                0.22963,                 0.2263,                0.14967,                0.07176,                 1.6797,                 2.8496,                 2.0806,               0.008515,               0.008515,               0.008515
                      5,                 1.4671,                 2.1508,                 1.6082,                0.35244,                0.46711,                0.35003,                0.19078,                 1.5894,                 2.2783,                 1.9425,                0.00802,                0.00802,                0.00802
                      6,                 1.4391,                 2.0026,                 1.5938,                0.36657,                0.50815,                0.33807,                0.17539,                 1.5613,                 2.1972,                 1.9292,               0.007525,               0.007525,               0.007525
                      7,                 1.4199,                 1.9258,                 1.5635,                0.43785,                0.42142,                0.36631,                0.19887,                 1.4932,                 2.1381,                 1.8018,                0.00703,                0.00703,                0.00703
                      8,                 1.3925,                  1.826,                 1.5566,                0.42878,                 0.5358,                0.46686,                0.27316,                 1.4221,                 1.8994,                 1.8035,               0.006535,               0.006535,               0.006535
                      9,                 1.3508,                 1.7113,                 1.5163,                0.52954,                0.58911,                0.56343,                0.34232,                 1.4113,                 1.6867,                  1.738,                0.00604,                0.00604,                0.00604
                     10,                 1.3204,                 1.6443,                 1.4959,                0.50413,                0.57729,                0.57507,                0.34097,                 1.3764,                 1.5526,                 1.7153,               0.005545,               0.005545,               0.005545
                     11,                   1.29,                  1.578,                 1.5759,                0.56926,                0.60449,                0.55325,                0.32269,                 1.3944,                 1.6565,                 1.7116,                0.00505,                0.00505,                0.00505
                     12,                 1.2181,                 1.4045,                  1.511,                0.70258,                0.59459,                0.69618,                0.43399,                 1.2911,                 1.4106,                 1.6347,               0.004555,               0.004555,               0.004555
                     13,                 1.1761,                 1.3139,                 1.4627,                0.69086,                0.74411,                0.75418,                0.47067,                 1.2385,                 1.2599,                 1.5696,                0.00406,                0.00406,                0.00406
                     14,                 1.1388,                 1.2065,                 1.4284,                0.65462,                0.73597,                0.75107,                0.48488,                 1.2379,                 1.2407,                 1.5532,               0.003565,               0.003565,               0.003565
                     15,                 1.1057,                 1.1443,                 1.4089,                0.82717,                0.72184,                0.82574,                0.54677,                 1.1726,                 1.0811,                 1.4952,                0.00307,                0.00307,                0.00307
                     16,                 1.0644,                 1.0221,                 1.3661,                 0.8565,                0.79961,                 0.8962,                0.60956,                 1.1527,                0.92249,                 1.4597,               0.002575,               0.002575,               0.002575
                     17,                 1.0115,                0.96407,                 1.3234,                0.78304,                 0.8436,                0.86876,                0.60727,                 1.0956,                0.95922,                 1.4305,                0.00208,                0.00208,                0.00208
                     18,                0.98107,                0.90667,                 1.3056,                0.89249,                0.75278,                0.89858,                0.62065,                 1.0799,                0.90117,                 1.4009,               0.001585,               0.001585,               0.001585
                     19,                0.96265,                0.84599,                 1.2841,                0.91662,                0.82812,                0.93352,                0.67517,                 1.0214,                  0.787,                 1.3555,                0.00109,                0.00109,                0.00109
                     20,                0.91106,                0.79214,                 1.2465,                0.89759,                0.85113,                0.93352,                0.68091,                  1.002,                0.75338,                 1.3422,               0.000595,               0.000595,               0.000595
